Sample	site	PRO/mL	SYN/mL	PEUK/mL	PE+Peuk/mL	Hbact/mL
MAL 2B	Maldives	32799	55086	4436	13	725734
MAL 2A	Maldives	33600	59115	4699	26	823436
MAL 1A	Maldives	14188	103346	6878	39	855881
MAL 1B	Maldives	12534	105932	6891	79	866867
MAL 3A	Maldives	33731	57212	3977	13	776265
MAL 3B	Maldives	45491	51004	4384	26	754950
MAL 4A	Maldives	19333	71558	6786	39	718725
MAL 4B	Maldives	18231	72135	7416	0	723870
MAL 5A	Maldives	3833	8649	1838	26	206981
MAL 5B	Maldives	3780	6996	1956	0	207808
M1	MaggieIs	30398	125606	15094	26	1390502
M2	MaggieIs	9647	38929	5578	13	684692
M3	MaggieIs	87714	192924	23809	184	1586117
N1	Ningaloo	1194	9083	709	0	260859
N2	Ningaloo	3308	15409	1509	0	399827
N3	Ningaloo	906	9148	1234	13	571568
N4	Ningaloo	1654	8361	1037	26	508528
AM 1	AmericanSamoa	4673	7166	433	0	99645
AM 2	AmericanSamoa	433	3898	341	66	97926
AL FAHAL A	RedSea	0	16800	866	0	334202
AL FAHAL B	RedSea	0	14884	1142	13	319371
AL LITH 1A	RedSea	0	24938	1470	26	387529
AL LITH 1B	RedSea	0	20698	1299	0	379719
AL LITH 2A	RedSea	0	33246	2966	0	313701
AL LITH 2B	RedSea	0	34584	5683	53	309251
YANBU 1A	RedSea	0	38128	3478	39	453863
YANBU 1B	RedSea	0	40701	3058	26	447261
YANBU 2A	RedSea	0	15566	3321	39	229386
YANBU 2B	RedSea	0	19044	3806	53	243495
INNER FSAR A	RedSea	0	37839	2756	0	397583
INNER FSAR B	RedSea	0	37931	4226	13	387516
KAP1	Micronesia	17391	54633	1004	13	549668
KAP2	Micronesia	36107	2842	538	20	321943
KAP3	Micronesia	65408	80620	4082	33	735656
KAP6	Micronesia	85391	21486	1345	20	652043
KOS1	Micronesia	43063	2244	860	7	380966
NAK1	Micronesia	61478	702	604	39	395732
NAK2	Micronesia	53780	1680	669	33	481832
OLIM2	Micronesia	44513	6005	1155	7	420066
Wole 1	Micronesia	36711	21597	1372	7	533669
Yap 1	Micronesia	40176	14155	1372	177	529922
