sample	site	PO4	N+N	Silicate	NO2	NH4
Maggie-Island-1	MaggieIs	0.182	1.05	5.22	0.172	0.138
Maggie-Island-2	MaggieIs	0.194	1.65	4.06	0.159	3.812
Maggie-Island-3	MaggieIs	0.175	0.91	6.00	0.135	0.195
Ningaloo-1	Ningaloo	0.213	1.02	2.90	0.131	0.022
Ningaloo-2	Ningaloo	0.187	0.73	2.64	0.123	0.032
Ningaloo-3	Ningaloo	0.205	0.80	3.16	0.129	0.033
Ningaloo-4	Ningaloo	0.213	0.88	2.90	0.126	0.070
Am-Soa-1	AmericanSamoa	0.342	1.40	1.74	0.162	0.771
Am-Soa-2	AmericanSamoa	0.263	0.95	0.71	0.098	1.629
Maldives-1	Maldives	0.220	0.69	1.61	0.089	0.193
Maldives-2	Maldives	0.228	0.69	1.23	0.075	0.259
Maldives-3	Maldives	0.229	0.72	1.36	0.071	0.352
Maldives-4	Maldives	0.230	0.71	1.36	0.062	0.215
Maldives-5	Maldives	0.279	1.44	1.36	0.058	0.391
Maldives-6	Maldives	0.223	0.65	1.36	0.106	0.171
Al-Lith1	RedSea	0.217	1.06	1.48	0.040	0.254
Al-Lith2	RedSea	0.191	0.84	1.48	0.119	0.163
Yanbu1	RedSea	0.154	0.92	1.36	0.099	0.164
Yanbu2	RedSea	0.176	0.95	1.36	0.106	0.267
Al-Fahal	RedSea	0.198	0.86	1.36	0.076	0.120
Innser-Fsar	RedSea	0.209	0.94	1.49	0.062	0.195
KAP1	Micronesia	0.1089	0.4122	1.0568	0.0836	0.1724
KAP2	Micronesia	0.0739	0.5058	1.1238	0.0457	0.1116
KAP3	Micronesia	0.1091	0.3367	0.9584	0.0684	0.0406
KAP6	Micronesia	0.0563	0.1914	0.9835	0.0235	0.0710
KOS1	Micronesia	0.1232	0.1246	1.2473	0.0224	0.0811
NAK1	Micronesia	0.0784	1.9946	1.2159	0.0508	0.0609
NAK2	Micronesia	0.0629	2.0029	0.8349	0.0099	0.0507
OLIM2	Micronesia	0.1121	0.0390	1.0316	0.0094	0.0101
Wole 1	Micronesia	0.1466	0.0993	1.1384	0.0285	0.0304
Yap 1	Micronesia	0.1845	0.2321	1.2954	0.0395	0.3854
