samples	reef	species	site	warmed	replicates	morphology	pocType	temp	salinity	Domg	pH	PO4	N.N	silicate	NO2	NH4	prok	syn	peuk	pe.peuk	Hbact
7	Mag2	Pocillopora damicornis	MaggieIs	FALSE	FALSE							0.1935	1.6493	4.0615	0.1587	3.8121	9647	38929	5578	13	684692
9	Mag2	Pocillopora damicornis	MaggieIs	FALSE	FALSE		type5					0.1935	1.6493	4.0615	0.1587	3.8121	9647	38929	5578	13	684692
11	Mag3	Stylophora pistillata	MaggieIs	FALSE	FALSE	thick						0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
12	Mag3	Pocillopora damicornis	MaggieIs	FALSE	FALSE		type5					0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
17	Mag3	Pocillopora damicornis	MaggieIs	FALSE	FALSE							0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
19	Mag3	Stylophora pistillata	MaggieIs	FALSE	FALSE	thick						0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
49-2	Ning1	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
50	Ning1	Stylophora pistillata	Ningaloo	TRUE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
50-2	Ning1	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
51-2	Ning1	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
52	Ning1	Stylophora pistillata	Ningaloo	TRUE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
52-2	Ning1	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.6	8.58	8.28	0.2126	1.0233	2.9016	0.1314	0.0215	1194	9083	709	0	260859
53	Ning2	Stylophora pistillata	Ningaloo	TRUE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
53-2	Ning2	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
54-2	Ning2	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
55-2	Ning2	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
56-2	Ning2	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
57-2	Ning2	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
63-2	Ning3	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.7	38.3	6.45	8.09	0.2049	0.8044	3.1601	0.1292	0.0326	906	9148	1234	13	571568
64-2	Ning3	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.7	38.3	6.45	8.09	0.2049	0.8044	3.1601	0.1292	0.0326	906	9148	1234	13	571568
65-2	Ning3	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.7	38.3	6.45	8.09	0.2049	0.8044	3.1601	0.1292	0.0326	906	9148	1234	13	571568
67-2	Ning3	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.7	38.3	6.45	8.09	0.2049	0.8044	3.1601	0.1292	0.0326	906	9148	1234	13	571568
80-2	Ning3	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.7	38.3	6.45	8.09	0.2049	0.8044	3.1601	0.1292	0.0326	906	9148	1234	13	571568
75-2	Ning4	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.3	6.7	8.09	0.2128	0.8785	2.9024	0.1255	0.0704	1654	8361	1037	26	508528
76-2	Ning4	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.3	6.7	8.09	0.2128	0.8785	2.9024	0.1255	0.0704	1654	8361	1037	26	508528
77-2	Ning4	Stylophora pistillata	Ningaloo	FALSE	FALSE	thick		24.9	38.3	6.7	8.09	0.2128	0.8785	2.9024	0.1255	0.0704	1654	8361	1037	26	508528
86	AM1	Pocillopora damicornis	AmericanSamoa	FALSE	FALSE							0.3424	1.4017	1.7416	0.1624	0.7714	4673	7166	433	0	99645
99	AM2	Pocillopora damicornis	AmericanSamoa	FALSE	FALSE		type3	28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
100	AM2	Pocillopora damicornis	AmericanSamoa	FALSE	FALSE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
101	AM2	Stylophora pistillata	AmericanSamoa	FALSE	FALSE	very thick		28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
102	AM2	Stylophora pistillata	AmericanSamoa	FALSE	FALSE	very thick		28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
103	AM2	Stylophora pistillata	AmericanSamoa	FALSE	FALSE	very thick		28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
104	AM2	Stylophora pistillata	AmericanSamoa	FALSE	FALSE	very thick		28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
105	AM2	Stylophora pistillata	AmericanSamoa	FALSE	FALSE	very thick		28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
106	Mal1	Pocillopora verrucosa	Maldives	FALSE	FALSE		type3	27.5	37.5	6.79	8.19	0.2198	0.6926	1.6129	0.0888	0.1932	13361	104639	6884	59	861374
107	Mal1	Pocillopora verrucosa	Maldives	FALSE	FALSE		type3	27.5	37.5	6.79	8.19	0.2198	0.6926	1.6129	0.0888	0.1932	13361	104639	6884	59	861374
121	Mal2	Pocillopora damicornis	Maldives	FALSE	FALSE		type5	28.4	34	6.87	8.13	0.2278	0.685	1.2259	0.0748	0.2586	33200	57100	4568	20	774585
127	Mal1b	Pocillopora damicornis	Maldives	FALSE	FALSE		type5														
138	Mal4	Pocillopora verrucosa	Maldives	FALSE	FALSE		type1					0.2303	0.7108	1.3552	0.062	0.2146	18782	71846	7101	20	721298
153	Mal5	Pocillopora verrucosa	Maldives	FALSE	FALSE		type1					0.2794	1.4395	1.3554	0.0581	0.3906	3806	7823	1897	13	207395
154	Mal5	Pocillopora verrucosa	Maldives	FALSE	FALSE		type1					0.2794	1.4395	1.3554	0.0581	0.3906	3806	7823	1897	13	207395
173	Yanbu1	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
174	Yanbu1	Stylophora pistillata	RedSea	FALSE	FALSE	thin		28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
175	Yanbu1	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
176	Yanbu1	Stylophora pistillata	RedSea	FALSE	FALSE	thin		28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
177	Yanbu1	Pocillopora verrucosa	RedSea	FALSE	FALSE			28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
178	Yanbu1	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
202	Yanbu1	Seriatopora sp.	RedSea	FALSE	FALSE			28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
203	Yanbu1	Seriatopora sp.	RedSea	FALSE	FALSE			28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
204	Yanbu1	Seriatopora sp.	RedSea	FALSE	FALSE			28.7	37	7.92	7.95	0.1539	0.9186	1.3559	0.0994	0.1643	0	39414	3268	33	450562
205	Yanbu2	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
206	Yanbu2	Stylophora pistillata	RedSea	FALSE	FALSE	thin		28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
207	Yanbu2	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
208	Yanbu2	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
209	Yanbu2	Stylophora pistillata	RedSea	FALSE	FALSE	thick		28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
210	Yanbu2	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
211	Yanbu2	Pocillopora verrucosa	RedSea	FALSE	FALSE			28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
212	Yanbu2	Pocillopora verrucosa	RedSea	FALSE	FALSE			28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
213	Yanbu2	Pocillopora verrucosa	RedSea	FALSE	FALSE			28.8	35.4	7.12	7.94	0.1757	0.9521	1.356	0.1059	0.2667	0	17305	3563	46	236440
218	Al-Lith1	Pocillopora verrucosa	RedSea	FALSE	FALSE			27	39.3	5.99	7.99	0.2169	1.0564	1.4847	0.0399	0.2544	0	22818	1385	13	383624
219	Al-Lith1	Pocillopora verrucosa	RedSea	FALSE	FALSE		type?	27	39.3	5.99	7.99	0.2169	1.0564	1.4847	0.0399	0.2544	0	22818	1385	13	383624
220	Al-Lith1	Pocillopora verrucosa	RedSea	FALSE	FALSE			27	39.3	5.99	7.99	0.2169	1.0564	1.4847	0.0399	0.2544	0	22818	1385	13	383624
221	Al-Lith1	Pocillopora verrucosa	RedSea	FALSE	FALSE		type3	27	39.3	5.99	7.99	0.2169	1.0564	1.4847	0.0399	0.2544	0	22818	1385	13	383624
222	Al-Lith1	Pocillopora damicornis	RedSea	FALSE	FALSE		type3	27	39.3	5.99	7.99	0.2169	1.0564	1.4847	0.0399	0.2544	0	22818	1385	13	383624
