sample	site	temp	salinity	Doperc	Domg	pH
KAP1	Micronesia	30.49804347	34.53321842	103.5898454	6.426276105	7.720125
KAP2	Micronesia	30.02560929	34.54750016	102.2620911	6.3913695	7.724246289
KAP3	Micronesia	30.2984725	34.56873225	99.65349775	6.199486	7.72254725
KAP6	Micronesia	30.137776	34.62598359	99.01110841	6.174513344	7.742200781
KOS1	Micronesia	29.97127	34.436031	100.775581	6.307952	7.327986
NAK1	Micronesia	30.01927104	34.22692579	100.7129478	6.306342286	7.657830179
NAK2	Micronesia	30.17852532	34.25244448	102.7537589	6.41682152	7.7969954
OLIM2	Micronesia	29.2857	34.428417	99.10099	6.271574	7.722622
Wole 1	Micronesia	29.354322	34.461071	98.417381	6.221014	7.563405
Wole 2	Micronesia	29.62018	34.422073	102.999458	6.48389	7.723264
Yap 1	Micronesia	29.1	34.1	99.68	6.34	6.81
Ningaloo-1	Ningaloo	24.949654	38.583344	129.206924	8.581287	8.284581
Ningaloo-2	Ningaloo	24.79056	38.655624	113.565132	7.563354	8.174685
Ningaloo-3	Ningaloo	24.680676	38.278481	96.513817	6.450056	8.093013
Ningaloo-4	Ningaloo	24.946222	38.287636	100.654968	6.696098	8.088347
Am-Soa-2	AmericanSamoa	28.537317	38.952133	123.796814	7.735793	8.250636
Maldives-1	Maldives	27.527048	37.510532	106.016579	6.792876	8.189468
Maldives-2	Maldives	28.381205	33.952194	106.733498	6.872371	8.132831
Maldives-3	Maldives	27.575766	37.817036	107.101891	6.845329	8.208598
Al-Lith1	RedSea	27	39.28		5.99	7.99
Al-Lith2	RedSea	27	40.08		6.22	8.12
Yanbu1	RedSea	28.7	36.97		7.92	7.95
Yanbu2	RedSea	28.8	35.43		7.12	7.94
Al-Fahal	RedSea	26	38.14		7.8	8.22
Innser-Fsar	RedSea	26	38.66		5.86	8.18
